Размер матрицы;Время выполнения(сек.);Количество операций;Объём данных
200;0.0078902;16000000;960000
400;0.0652981;128000000;3840000
800;0.5599128;1024000000;15360000
1200;3.5607850;3456000000;34560000
1600;12.3346123;8192000000;61440000
2000;34.8029617;16000000000;96000000
